year,ocean,platform_number,cycle_number,latitude,longitude,time,pres,temp,psal
2023,Pacific,6903055,90001,8.787261332211472,-136.55079016455971,2023-02-28 10:00:00,76.3973444818753,8.353015704744042,35.33411645913828
2023,Pacific,6902746,90002,-1.948553123582883,-103.73186287445446,2023-01-20 08:00:00,1769.610651949611,21.3948914610751,30.63541509344205
2023,Pacific,6903055,90003,35.13583447989559,-108.54174701105988,2023-02-09 06:00:00,1446.7884325539676,0.3403440410514067,35.142271956158254
2023,Pacific,6903010,90004,-0.4490505264986524,-149.86759385957112,2023-07-07 18:00:00,201.0178436878316,17.894996211215222,37.98523628677288
2023,Pacific,6903001,90005,-37.1891972056677,-148.8273074514891,2023-10-12 12:00:00,72.9737000056232,17.65870349557133,33.27454769099779
2023,Pacific,6902750,90006,-43.33291196443572,-108.85366715858422,2023-02-28 07:00:00,1457.0680979846047,32.88055011322234,34.63229612771499
2023,Pacific,6903001,90007,9.232492912167244,-70.38710272543551,2023-07-08 16:00:00,803.9532408297656,2.514121882090662,34.18879232082376
2023,Pacific,6903055,90008,-56.78324386124483,-101.86578102941496,2023-08-21 21:00:00,1035.809443338903,2.65846532922847,36.32466729638751
2023,Pacific,6903001,90009,-28.63045458072067,-153.8133218388431,2023-04-06 07:00:00,854.4946568684943,-0.7254554686018269,37.702064780194455
2023,Pacific,6902746,90010,-18.616675204892225,-160.1240990842399,2023-02-24 06:00:00,843.8298914810584,13.534243421931055,37.13455388470601
2023,Pacific,6903001,90011,-0.7731864419403536,-150.0679025588209,2023-01-26 02:00:00,1586.4396813380883,11.279461783788827,31.40429881544232
2023,Pacific,6903001,90012,54.60408107560082,-122.71029561157977,2023-03-03 21:00:00,379.527900892525,28.454431065327025,38.69858465058856
2023,Pacific,6902750,90013,-39.31921943628609,-161.395834422238,2023-12-02 06:00:00,1754.9868125195735,23.23818643705816,34.65693492282148
2023,Pacific,6903001,90014,-0.833548313138472,-75.8167127967332,2023-07-15 01:00:00,591.8011183951455,21.029182374467005,33.83875485223246
2023,Pacific,6902750,90015,-26.35642067226128,-119.77430662627086,2023-11-01 10:00:00,779.1159223880735,27.79484214817044,33.2347959203631
2023,Pacific,6902750,90016,-19.474893107782503,-94.98153075209233,2023-04-18 07:00:00,645.1203031930092,31.722620511089204,32.99011279788686
2023,Pacific,6902750,90017,-49.80674998127619,-108.7693351100065,2023-11-15 00:00:00,1013.329130493821,22.822264570947212,32.365502591577346
2023,Pacific,6903055,90018,26.40526453025535,-97.433284200437,2023-11-17 15:00:00,1378.0738026071758,30.270689084692023,38.50721962039695
2023,Pacific,6902750,90019,-48.47852892697894,-94.07879608138028,2023-02-20 05:00:00,1207.3554936270734,-1.683978612548201,30.979064377115375
